IMAGEN   FWHM   SKY
Light_M6_30.0s_Bin1_V_20221001-213543_0001.fit   1.7   102.1
Light_M6_30.0s_Bin1_V_20221001-213615_0002.fit   4.8   108.2
Light_M6_30.0s_Bin1_V_20221001-213647_0003.fit   1.8   95.2
Light_M6_30.0s_Bin1_V_20221001-213719_0004.fit   1.8   98.3
Light_M6_30.0s_Bin1_V_20221001-213750_0005.fit   1.8   93.4
Light_M6_30.0s_Bin1_V_20221001-213822_0006.fit   2.0   91.6
Light_M6_30.0s_Bin1_V_20221001-213854_0007.fit   1.8   95.5
Light_M6_30.0s_Bin1_V_20221001-213938_0008.fit   1.9   93.6
Light_M6_30.0s_Bin1_V_20221001-214010_0009.fit   2.0   93.0
Light_M6_30.0s_Bin1_V_20221001-214128_0010.fit   1.8   86.8
Light_M6_30.0s_Bin1_V_20221001-214200_0011.fit   1.9   104.0
